CMDLINE uv run ./cs336_basics/bbpe_tokenizer.py
MEM 1.785156 1773012438.9617
MEM 24.804688 1773012439.0703
CHLD 25412 3.906250 1773012439.0753
CHLD 36952 11.144531 1773012439.0753
MEM 24.804688 1773012439.1785
CHLD 25412 3.906250 1773012439.1835
CHLD 36952 20.109375 1773012439.1835
MEM 24.804688 1773012439.2854
CHLD 25412 3.906250 1773012439.2930
CHLD 36952 23.546875 1773012439.2930
CHLD 61868 12.363281 1773012439.2930
MEM 24.804688 1773012439.3938
CHLD 25412 3.906250 1773012439.3979
CHLD 36952 23.546875 1773012439.3979
CHLD 61868 21.925781 1773012439.3979
MEM 24.804688 1773012439.5008
CHLD 25412 3.906250 1773012439.5041
CHLD 36952 23.546875 1773012439.5041
CHLD 61868 696.343750 1773012439.5041
MEM 24.804688 1773012439.6084
CHLD 25412 3.906250 1773012439.6156
CHLD 36952 23.546875 1773012439.6156
CHLD 61868 1552.890625 1773012439.6156
MEM 24.804688 1773012439.7167
CHLD 25412 3.906250 1773012439.7243
CHLD 36952 23.546875 1773012439.7243
CHLD 61868 2071.031250 1773012439.7243
MEM 24.804688 1773012439.8255
CHLD 25412 3.906250 1773012439.8319
CHLD 36952 23.546875 1773012439.8319
CHLD 61868 2071.031250 1773012439.8319
MEM 24.804688 1773012439.9344
CHLD 25412 3.906250 1773012439.9404
CHLD 36952 23.546875 1773012439.9404
CHLD 61868 2071.031250 1773012439.9404
MEM 24.804688 1773012440.0433
CHLD 25412 3.906250 1773012440.0484
CHLD 36952 23.546875 1773012440.0484
CHLD 61868 2071.031250 1773012440.0484
MEM 24.804688 1773012440.1521
CHLD 25412 3.906250 1773012440.1636
CHLD 36952 23.546875 1773012440.1636
CHLD 61868 2071.031250 1773012440.1636
MEM 24.804688 1773012440.2644
CHLD 25412 3.906250 1773012440.2714
CHLD 36952 23.546875 1773012440.2714
CHLD 61868 2071.031250 1773012440.2714
MEM 24.804688 1773012440.3725
CHLD 25412 3.906250 1773012440.3820
CHLD 36952 23.546875 1773012440.3820
CHLD 61868 2071.031250 1773012440.3820
MEM 24.804688 1773012440.4827
CHLD 25412 3.906250 1773012440.4862
CHLD 36952 23.546875 1773012440.4862
CHLD 61868 2071.031250 1773012440.4862
MEM 24.804688 1773012440.5914
CHLD 25412 3.906250 1773012440.5954
CHLD 36952 23.546875 1773012440.5954
CHLD 61868 2147.566406 1773012440.5954
MEM 24.804688 1773012440.6992
CHLD 25412 3.906250 1773012440.7065
CHLD 36952 23.546875 1773012440.7065
CHLD 61868 2420.332031 1773012440.7065
MEM 24.804688 1773012440.8076
CHLD 25412 3.906250 1773012440.8146
CHLD 36952 23.546875 1773012440.8146
CHLD 61868 2760.734375 1773012440.8146
MEM 24.804688 1773012440.9157
CHLD 25412 3.906250 1773012440.9242
CHLD 36952 23.546875 1773012440.9242
CHLD 61868 3223.171875 1773012440.9242
MEM 24.804688 1773012441.0247
CHLD 25412 3.906250 1773012441.0319
CHLD 36952 23.546875 1773012441.0319
CHLD 61868 3642.921875 1773012441.0319
MEM 24.804688 1773012441.1350
CHLD 25412 3.906250 1773012441.1411
CHLD 36952 23.546875 1773012441.1411
CHLD 61868 4047.039062 1773012441.1411
MEM 24.804688 1773012441.2434
CHLD 25412 3.906250 1773012441.2494
CHLD 36952 23.546875 1773012441.2494
CHLD 61868 4441.609375 1773012441.2494
MEM 24.804688 1773012441.3520
CHLD 25412 3.906250 1773012441.3591
CHLD 36952 23.546875 1773012441.3591
CHLD 61868 4859.921875 1773012441.3591
MEM 24.804688 1773012441.4612
CHLD 25412 3.906250 1773012441.4688
